energy,unc_en,intensity_%,unc_i,type,start level energy  [keV],  end level energy  [keV], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,Extraction_date
1877.29,0.19,0.041,0.004,G,3473.58,1596.24, , ,, , ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
1903.5, , , ,G,1903.32,0.0,E0, ,, , ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
1924.62,0.13,0.0134,0.0019,G,3520.87,1596.24, , ,, , ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
2083.2,0.5,0.0115,0.0007,G,2083.26,0.0,E4, ,,1.36E-3, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
2347.88,0.05,0.85,0.03,G,2347.89,0.0,E2, ,,8.45E-4, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
2464.1,0.5,0.0114,0.0019,G,2464.09,0.0, , ,, , ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
2521.4,0.05,3.46,0.04,G,2521.43,0.0,E2, ,,8.81E-4, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
2547.34,0.11,0.101,0.003,G,2547.24,0.0,M1, ,,9.62E-4, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
2899.61,0.16,0.0668,0.0019,G,2899.66,0.0,E2, ,,9.79E-4, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
3118.51,0.16,0.0248,0.001,G,3118.55,0.0,(E2), ,,1.04E-3, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
3320.4,0.6,0.0038,0.0003,G,3320.4,0.0,(E2), ,,1.10E-3, ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
5.41, ,0.38, ,X, , , , , , , ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
34.279, ,0.583, ,X, , , , , , , ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
34.72, ,1.068, ,X, , , , , , , ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
39.366, ,0.322, ,X, , , , , , , ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
39.753, ,0.404, ,X, , , , , , , ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28
40.229, ,0.0817, ,X, , , , , , , ,57,83,La, ,0, ,3-,1.67858, ,21,d,145029.312,18.144,B-,100, ,3762.2,1.3,58,82,Ce,2022-01-28

